Provincia,Diseño institucional,Cámara,Apellido,Nombre,Bloque,Período,Género
Buenos Aires,Bicameral,Diputados,Abad,Maximiliano,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Pascualin,Julio,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Panebianco,Johanna Pamela,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Otermin,Federico,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Olivetto,Micaela Edith,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Natalí,Lorenzo Juan,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Moreno,Carlos Julio,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Moragues,Santos Constanza,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Molle,Matias,Avanza Libertad,2021-2025,M
Buenos Aires,Bicameral,Diputados,Molina,Martiniano,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Miranda,Valentin,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Mignaquy,Javier Carlos,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Mesias,Nazarena Carla,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Malpeli,Juan mMartín,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Lorden,María Alejandra,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Lopez,Roxana Alejandra,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Lipovetzky,Daniel Andrés,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Laroque del Caro,Berenice Ivana,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Larroque,Mariana,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Klug,Lucía Lorena,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Passaglia,Ismael Santiago,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Peralta,Ramos Anastasia,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Perechodnik,Fabián,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Perez,Juan José,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Zuccari,Vanesa,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Viviani,Mauricio Andrés,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Valicenti,Cesar Daniel,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Urrelli,Adrián Gonzalo,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Sotelo Larcher,Nahuel,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Siciliano,Sergio Hernán,Avanza Libertad,2021-2025,M
Buenos Aires,Bicameral,Diputados,Sanchez Jauregui,Natalia Andrea,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Salbitano,Nora Rosana,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,RUSSO,Nicolás,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Kane,Guillermo,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Ruiz,Noelia Florencia,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Rossi,José Ignasio,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Rossi,Claudio Alberto,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Rolleri,Ricardo Luis,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Ricchini,Maria Laura,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Retamoso,María Florencia,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Rasquetti,Ayelén Itatí,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Ranzini,Matias Fernando,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Quntero Chasman,Julieta Elizabeth,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Pugleelli,Carlos Javier,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Rovello,Fernando,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Indarte,Débora Silvina,Frente de Izquierda de los Trabajadores,2021-2025,F
Buenos Aires,Bicameral,Diputados,Padulo,Luciana,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Guzzo,Viviana Raquel,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Carusso,Walter Héctor,Cambio Federal,2019-2023,M
Buenos Aires,Bicameral,Diputados,Carrara,Juan Bautista María,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Campbell,Alexander Malcolm,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Calderón,Graciela Beatriz,Izq. Socialista en Fte.Izq-Unid,2021-2025,F
Buenos Aires,Bicameral,Diputados,Bustos,Maria Paula,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Buitagro,Catalina Maria,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Bugallo Di Prinzio,Luciano David,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Brunelli,Naldo Raúl Adalberto,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Brizzi,María Eugenia,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Cascallares,Mariano,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Britos,Favio Gustavo,17 de Noviembre,2019-2023,M
Buenos Aires,Bicameral,Diputados,Bevilaccua,Maria Fernanda,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Barbieri,Verónica Mabel,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Balbin,Emiliano,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Archanco,Juan Ariel,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Arata,María Valeria,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Iañez,Lucía,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Alvarado,Maite Milagros,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Alonso,Soledad Aantonia,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Abarca,Walter Jose,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Bilbao,Anahí Silvina,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Casatello,Guillermo Ricardo,Avanza Libertad,2021-2025,M
Buenos Aires,Bicameral,Diputados,Antonijevic,FERNANDA,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Conocchiari,Alberto Ruben,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Compagnoni,Fernando Matías,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Greco,Melisa Gisela,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Gonzalez,Susana Haydee,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Gomez Parodi,Juan Miguel,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,GOMEZ,Abigail Gabriela,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Galan,Débora Sabrina,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Frangul,Claudio Gustavo,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Faroni,Marcela Viviana,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Etchecoin,Moro Maricel,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Eslaiman,Hector Rubén,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Grana,Adrian Eduardo,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Dominguez Yelpo,Sergio Martín,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Domenichini,Pablo Matías,Cambio Federal,2019-2023,M
