Provincia,Mujeres,Varones,Total,Paridad 50%,Mujeres estandarizado,Varones estandarizado,Ratio
Buenos Aires,42,50,92,46.0,91.30434782608695,108.69565217391303,84.00000000000001
Catamarca,20,21,41,20.0,100.0,100.0,100.0
Chaco,15,17,32,16.0,93.75,106.25,88.23529411764706
Chubut,12,16,28,14.0,85.71428571428571,114.28571428571428,75.0
Ciudad Autónoma de Buenos Aires,28,32,60,30.0,93.33333333333333,106.66666666666667,87.49999999999999
Corrientes,12,18,30,15.0,80.0,120.0,66.66666666666666
Córdoba,30,40,70,35.0,85.71428571428571,114.28571428571428,75.0
Entre Ríos,10,24,34,17.0,58.82352941176471,141.1764705882353,41.66666666666667
Formosa,12,17,29,14.0,85.71428571428571,113.33333333333333,75.63025210084034
Jujuy,18,30,48,24.0,75.0,125.0,60.0
La Pampa,11,19,30,15.0,73.33333333333333,126.66666666666666,57.89473684210527
La Rioja,7,29,36,18.0,38.88888888888889,161.11111111111111,24.137931034482758
Mendoza,23,24,47,23.0,100.0,100.0,100.0
Misiones,18,19,37,18.0,100.0,100.0,100.0
Neuquén,17,18,35,17.0,100.0,100.0,100.0
Río Negro,20,26,46,23.0,86.95652173913044,113.04347826086956,76.92307692307693
Salta,23,37,60,30.0,76.66666666666667,123.33333333333334,62.16216216216216
San Juan,7,29,36,18.0,38.88888888888889,161.11111111111111,24.137931034482758
San Luis,23,20,43,21.0,109.52380952380953,90.9090909090909,100.0
Santa Cruz,5,19,24,12.0,41.66666666666667,158.33333333333331,26.315789473684216
Santa Fe,24,26,50,25.0,96.0,104.0,92.3076923076923
Santiago del Estero,20,20,40,20.0,100.0,100.0,100.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",6,9,15,7.0,85.71428571428571,112.5,76.19047619047619
Tucumán,11,38,49,24.0,45.83333333333333,152.0,30.153508771929822
