Provincia,Mujeres,Varones,Total,Ratio
Buenos Aires,8.0,14.0,22.0,57.14285714285714
Catamarca,7.0,13.0,20.0,53.84615384615385
Chaco,2.0,16.0,18.0,12.5
Chubut,10.0,10.0,20.0,100.0
Ciudad Autónoma de Buenos Aires,5.0,15.0,20.0,33.33333333333333
Corrientes,6.0,10.0,16.0,60.0
Córdoba,13.0,15.0,28.0,86.66666666666667
Entre Ríos,7.0,15.0,22.0,46.666666666666664
Formosa,0.0,12.0,12.0,0.0
Jujuy,7.0,11.0,18.0,63.63636363636363
La Pampa,9.0,11.0,20.0,81.81818181818183
La Rioja,8.0,14.0,22.0,57.14285714285714
Mendoza,11.0,17.0,28.0,64.70588235294117
Misiones,10.0,16.0,26.0,62.5
Neuquén,7.0,17.0,24.0,41.17647058823529
Río Negro,6.0,12.0,18.0,50.0
Salta,11.0,13.0,24.0,84.61538461538461
San Juan,6.0,14.0,20.0,42.857142857142854
San Luis,7.0,9.0,16.0,77.77777777777779
Santa Cruz,7.0,15.0,22.0,46.666666666666664
Santa Fe,22.0,14.0,36.0,100.0
Santiago del Estero,13.0,9.0,22.0,100.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",6.0,20.0,26.0,30.0
Tucumán,8.0,12.0,20.0,66.66666666666666
