Provincia,Cantidad intendentas,Cantidad intendentes,Municipios,Paridad 50%,Mujeres estandarizado,Varones estandarizado,Ratio
Buenos Aires,6,129,135,67.0,8.955223880597014,189.70588235294116,4.720583130857341
Catamarca,3,17,20,10.0,30.0,170.0,17.647058823529413
Chaco,13,57,70,35.0,37.142857142857146,162.85714285714286,22.80701754385965
Chubut,3,19,30,15.0,20.0,126.66666666666666,15.789473684210527
Ciudad Autónoma de Buenos Aires,2,13,15,7.0,28.57142857142857,162.5,17.58241758241758
Corrientes,13,59,69,34.0,38.23529411764706,168.57142857142858,22.681954137587237
Córdoba,32,199,260,130.0,24.615384615384617,153.07692307692307,16.080402010050253
Entre Ríos,9,74,83,41.0,21.951219512195124,176.19047619047618,12.458800263678315
Formosa,1,26,27,13.0,7.6923076923076925,185.71428571428572,4.1420118343195265
Jujuy ,3,19,22,11.0,27.27272727272727,172.72727272727272,15.789473684210526
La Pampa,10,47,57,28.0,35.714285714285715,162.06896551724137,22.03647416413374
La Rioja,4,14,18,9.0,44.44444444444444,155.55555555555557,28.57142857142857
Mendoza,1,16,17,8.0,12.5,177.77777777777777,7.03125
Misiones,7,69,76,38.0,18.421052631578945,181.57894736842107,10.144927536231881
Neuquén,5,31,36,18.0,27.77777777777778,172.22222222222223,16.129032258064516
Río Negro,9,29,38,19.0,47.368421052631575,152.63157894736844,31.034482758620683
Salta,4,56,60,30.0,13.333333333333334,186.66666666666666,7.142857142857144
San Juan ,1,18,19,9.0,11.11111111111111,180.0,6.172839506172839
San Luis,3,18,20,10.0,30.0,180.0,16.666666666666664
Santa Cruz,0,15,15,7.0,0.0,187.5,0.0
Santa Fe,6,35,41,20.0,30.0,166.66666666666669,18.0
Santiago del Estero,3,19,22,11.0,27.27272727272727,172.72727272727272,15.789473684210526
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",0,3,3,1.0,0.0,150.0,0.0
Tucumán,3,16,19,9.0,33.33333333333333,160.0,20.833333333333332
