Provincia,IGDR,Ranking
Buenos Aires,53.38539126015655,17
CABA,60.53855520795545,9
Catamarca,59.54829972383762,11
Chaco,60.91387362497973,8
Chubut,63.09714732061981,5
Córdoba,59.86791015783555,10
Corrientes,55.08856505664308,14
Entre Ríos,53.53970489272425,15
Formosa,45.72380853195265,20
Jujuy,50.08908730119433,18
La Pampa,56.39148871948672,12
La Rioja,44.07947368106836,23
Mendoza,62.35984284778147,7
Misiones,55.47972602672077,13
Neuquén,63.50262461767492,4
Río Negro,62.42462121097198,6
Salta,53.41270136088107,16
San Juan,45.596052460712,21
San Luis,69.79971346646055,2
Santa Cruz,42.42640687119284,24
Santa Fe,66.86740611089984,3
Santiago del Estero,71.77511174959378,1
TdF,44.15880433163922,22
Tucumán,46.20515844217685,19
