Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Provincia,Representación Política,Ranking
,Buenos Aires,76,7
,CABA,73.66666666666667,10
,Catamarca,72,11
,Chaco,60.33333333333334,17
,Chubut,91,2
,Córdoba,84.33333333333333,4
,Corrientes,66.33333333333333,15
,Entre Ríos,60.66666666666666,16
,Formosa,42.66666666666666,22
,Jujuy,53.66666666666666,18
,La Pampa,70.66666666666667,12
,La Rioja,44.66666666666666,21
,Mendoza,85,3
,Misiones,76,8
,Neuquén,74.33333333333333,9
,Río Negro,68.66666666666667,13
,Salta,68.33333333333333,14
,San Juan,42,23
,San Luis,84,5
,Santa Cruz,40,24
,Santa Fe,81.66666666666667,6
,Santiago del Estero,93.66666666666667,1
,TdF,50,19
,Tucumán,45.66666666666666,20
