Provincia,Cargo,Mujeres,Varones,Total,Paridad 50%,Mujeres estandarizado,Varones estandarizado,Ratio
Buenos Aires ,Magistradxs,473,743,1216,608.0,77.79605263157895,122.20394736842107,63.660834454912504
Catamarca,Magistradxs,42,47,89,44.0,95.45454545454545,104.44444444444446,91.39264990328819
Chaco,Magistradxs,124,89,213,106.0,116.98113207547169,83.17757009345794,100.0
Chubut,Magistradxs,62,75,137,68.0,91.17647058823529,108.69565217391303,83.88235294117648
Ciudad Autónoma de Buenos Aires,Magistradxs,35,38,73,36.0,97.22222222222221,102.7027027027027,94.66374269005848
Corrientes,Magistradxs,70,79,149,74.0,94.5945945945946,105.33333333333333,89.80499486828602
Córdoba,Magistradxs,259,321,580,290.0,89.3103448275862,110.68965517241381,80.6853582554517
Entre Ríos,Magistradxs,90,163,253,126.0,71.42857142857143,128.3464566929134,55.65293602103418
Formosa,Magistradxs,34,30,64,32.0,106.25,93.75,100.0
Jujuy,Magistradxs,35,40,75,37.0,94.5945945945946,105.26315789473684,89.86486486486487
La Pampa,Magistradxs,70,66,136,68.0,102.94117647058823,97.05882352941177,100.0
La Rioja,Magistradxs,46,36,82,41.0,112.19512195121952,87.8048780487805,100.0
Mendoza,Magistradxs,137,116,253,126.0,108.73015873015872,91.33858267716536,100.0
Misiones,Magistradxs,101,122,223,111.0,90.990990990991,108.92857142857142,83.53271304090978
Neuquén,Magistradxs,68,53,121,60.0,113.33333333333333,86.88524590163934,100.0
Rio Negro,Magistradxs,89,99,188,94.0,94.68085106382979,105.31914893617021,89.89898989898991
Salta,Magistradxs,70,76,146,73.0,95.8904109589041,104.10958904109589,92.10526315789473
San Juan,Magistradxs,35,63,98,49.0,71.42857142857143,128.57142857142858,55.55555555555555
San Luis,Magistradxs,53,51,104,52.0,101.92307692307692,98.07692307692307,100.0
Santa Cruz,Magistradxs,20,42,62,31.0,64.51612903225806,135.48387096774192,47.61904761904762
Santa Fe,Magistradxs,185,254,439,219.0,84.47488584474885,115.45454545454545,73.16722396001869
Santiago del Estero,Magistradxs,41,41,82,41.0,100.0,100.0,100.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Magistradxs,9,34,43,21.0,42.857142857142854,154.54545454545453,27.73109243697479
Tucumán,Magistradxs,94,110,204,102.0,92.15686274509804,107.84313725490196,85.45454545454545
