Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Provincia,m_magistradas,v_magistrados,total_magistradxs,paridad_magistradxs,m_estandarizado,v_estandarizado
,Buenos Aires,473,743,1216,608,77.7960526,122.203947
,CABA,35,38,73,36,97.2222222,102.702703
,Catamarca,42,47,89,44,95.4545455,104.444444
,Chaco,124,89,213,106,116.981132,83.1775701
,Chubut,62,75,137,68,91.1764706,108.695652
,Córdoba,259,321,580,290,89.3103448,110.689655
,Corrientes,70,79,149,74,94.5945946,105.333333
,Entre Ríos,90,163,253,126,71.4285714,128.346457
,Formosa,34,30,64,32,106.25,93.75
,Jujuy,35,40,75,37,94.5945946,105.263158
,La Pampa,70,66,136,68,102.941176,97.0588235
,La Rioja,46,36,82,41,112.195122,87.804878
,Mendoza,137,116,253,126,108.730159,91.3385827
,Misiones,101,122,223,111,90.990991,108.928571
,Neuquén,68,53,121,60,113.333333,86.8852459
,Río Negro,89,99,188,94,94.6808511,105.319149
,Salta,70,76,146,73,95.890411,104.109589
,San Juan,35,63,98,49,71.4285714,128.571429
,San Luis,53,51,104,52,101.923077,98.0769231
,Santa Cruz,20,42,62,31,64.516129,135.483871
,Santa Fe,185,254,439,219,84.4748858,115.454545
,Santiago del Estero,41,41,82,41,100,100
,TdF,9,34,43,21,42.8571429,154.545455
,Tucumán,94,110,204,102,92.1568627,107.843137
