Provincia,proporción_mujeres,proporción_varones
Buenos Aires,33.3,66.7
CABA,34.4,65.6
Catamarca,34.2,65.8
Chaco,30.1,69.9
Chubut,35.2,64.8
Córdoba,31.4,68.6
Corrientes,34.9,65.1
Entre Ríos,28.9,71.1
Formosa,36.8,63.2
Jujuy,34.9,65.1
La Pampa,31.1,68.9
La Rioja,31.1,68.9
Mendoza,32.7,67.3
Misiones,31.5,68.5
Neuquén,37.8,62.2
Río Negro,34.4,65.6
Salta,35.5,64.5
San Juan,36.1,63.9
San Luis,39.3,60.7
Santa Cruz,37.0,63.0
Santa Fe,32.4,67.6
Santiago del Estero,36.1,63.9
TdF,32.3,67.7
Tucumán,34.4,65.6
