Provincia,m_legisladoras,v_legisladores,total_bancas,paridad_total,m_estandarizado,v_estandarizado
Buenos Aires,1027,1175,2202,1101,93.2788374,106.721163
CABA,45,45,90,45,100.0,100.0
Catamarca,39,64,103,51,76.4705882,123.076923
Chaco,161,202,363,181,88.9502762,110.989011
Chubut,86,88,174,87,98.8505747,101.149425
Córdoba,811,893,1704,852,95.1877934,104.812207
Corrientes,171,238,409,204,83.8235294,116.097561
Entre Ríos,337,362,699,349,96.5616046,103.428571
Formosa,46,89,135,67,68.6567164,130.882353
Jujuy,35,95,130,65,53.8461538,146.153846
La Pampa,123,171,294,147,83.6734694,116.326531
La Rioja,47,89,136,68,69.1176471,130.882353
Mendoza,92,102,194,97,94.8453608,105.154639
Misiones,172,267,439,219,78.5388128,121.363636
Neuquén,117,144,261,130,90.0,109.923664
Río Negro,88,113,201,100,88.0,111.881188
Salta,126,217,343,171,73.6842105,126.162791
San Juan,48,83,131,65,73.8461538,125.757576
San Luis,58,79,137,68,85.2941176,114.492754
Santa Cruz,25,53,78,39,64.1025641,135.897436
Santa Fe,103,194,297,148,69.5945946,130.201342
Santiago del Estero,78,96,174,87,89.6551724,110.344828
TdF,6,15,21,10,60.0,136.363636
Tucumán,50,125,175,87,57.4712644,142.045455
