Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Provincia,m_legisladoras,v_legisladores,total_bancas,paridad_total,m_estandarizado,v_estandarizado
,Buenos Aires,42,50,92,46,91.3043478,108.695652
,CABA,28,32,60,30,93.3333333,106.666667
,Catamarca,20,21,41,20,100,100
,Chaco,15,17,32,16,93.75,106.25
,Chubut,12,16,28,14,85.7142857,114.285714
,Córdoba,30,40,70,35,85.7142857,114.285714
,Corrientes,12,18,30,15,80,120
,Entre Ríos,10,24,34,17,58.8235294,141.176471
,Formosa,12,17,29,14,85.7142857,113.333333
,Jujuy,18,30,48,24,75,125
,La Pampa,11,19,30,15,73.3333333,126.666667
,La Rioja,7,29,36,18,38.8888889,161.111111
,Mendoza,23,24,47,23,100,100
,Misiones,18,19,37,18,100,100
,Neuquén,17,18,35,17,100,100
,Río Negro,20,26,46,23,86.9565217,113.043478
,Salta,23,37,60,30,76.6666667,123.333333
,San Juan,7,29,36,18,38.8888889,161.111111
,San Luis,23,20,43,21,109.52381,90.9090909
,Santa Cruz,5,19,24,12,41.6666667,158.333333
,Santa Fe,24,26,50,25,96,104
,Santiago del Estero,20,20,40,20,100,100
,TdF,6,9,15,7,85.7142857,112.5
,Tucumán,11,38,49,24,45.8333333,152
