Provincia,Mandatarie,Género del mandatarie,Partido,Nombre,Género,Ministerio
Buenos Aires,Axel Kicillof,M,Frente de Todos,Daniela Vilar,F,Ambiente
Buenos Aires,Axel Kicillof,M,Frente de Todos,Jorge D'onofrio,M,Transporte
Buenos Aires,Axel Kicillof,M,Frente de Todos,Sergio Berni,M,Seguridad
Buenos Aires,Axel Kicillof,M,Frente de Todos,Federico Thea,M,María Agustina Vila
Buenos Aires,Axel Kicillof,M,Frente de Todos,Nicolás Kreplak,M,Salud
Buenos Aires,Axel Kicillof,M,Frente de Todos,Augusto Costa,M,"Producción, Ciencia e Innovación Tecnológica"
Buenos Aires,Axel Kicillof,M,Frente de Todos,Estela Díaz,F,"Mujeres, Políticas de Género y Diversidad Sexual "
Buenos Aires,Axel Kicillof,M,Frente de Todos,Julio Alak,M,Justicia y Derechos Humanos
Buenos Aires,Axel Kicillof,M,Frente de Todos,Martín Insaurralde,M,Jefe de Gabinete
Buenos Aires,Axel Kicillof,M,Frente de Todos,Walter Correa,M,Trabajo
Buenos Aires,Axel Kicillof,M,Frente de Todos,Pablo Julio Lopez,M,Hacienda y Finanzas
Buenos Aires,Axel Kicillof,M,Frente de Todos,Agustín Pablo Simone,M,Habitat y Desarrollo Urbano
Buenos Aires,Axel Kicillof,M,Frente de Todos,Cristina Álvarez Rodríguez,F,Gobierno
Buenos Aires,Axel Kicillof,M,Frente de Todos,Agustina Vila,F,Educación y Cultura
Buenos Aires,Axel Kicillof,M,Frente de Todos,Andres Larroque,M,Desarrollo de la Comunidad
Buenos Aires,Axel Kicillof,M,Frente de Todos,Javier Rodríguez,M,Desarrollo Agrario
Buenos Aires,Axel Kicillof,M,Frente de Todos,Jesica Rey,F,Comunicación Pública
Buenos Aires,Axel Kicillof,M,Frente de Todos,Leonardo Nardini,M,Infraestructura y Servicios Públicos
Catamarca,Raúl Jalil,M,Partido Justicialista,Andrea Centurión,F,Educación
Catamarca,Raúl Jalil,M,Partido Justicialista,Marcelo Rivera,M,Desarrollo Social y Deportes
Catamarca,Raúl Jalil,M,Partido Justicialista,Roberto Brunello,M,"Cultura, Turismo y Deporte"
Catamarca,Raúl Jalil,M,Partido Justicialista,Manuel Isauro Molina,M,Ciencia e Innovación Tecnológica
Catamarca,Raúl Jalil,M,Partido Justicialista,Alberto Kozicki,M,"Agua, Energía y Medio Ambiente"
Catamarca,Raúl Jalil,M,Partido Justicialista,Dalmacio Mera,M,Inclusión digital y sistemas productivos
Catamarca,Raúl Jalil,M,Partido Justicialista,Alejandra Nazareno,F,Economía
Catamarca,Raúl Jalil,M,Partido Justicialista,María Manuela Ávila,F,Salud
Catamarca,Raúl Jalil,M,Partido Justicialista,Eduardo Nierderle,M,Infraestructura y Obras
Catamarca,Raúl Jalil,M,Partido Justicialista,Marcelo Adrián Murúa Palacio,M,Minería
Catamarca,Raúl Jalil,M,Partido Justicialista,Fabiola Segura,F,Seguridad
Catamarca,Raúl Jalil,M,Partido Justicialista,Fidel Sáenz,M,Vivienda y Urbanización
Catamarca,Raúl Jalil,M,Partido Justicialista,"Integración Regional, Logística y Transporte",M,Comunicación
Catamarca,Raúl Jalil,M,Partido Justicialista,Verónica Soria,F,"Trabajo, Planificación y Recursos Humanos"
