Provincia,Alianza,Año elección,Cargo,Subcategoria Cargo,Posicion,Apellido,Nombres,Género
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,1,Hotton,Cynthia Liliana,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,2,Bruno,Gaston Oscar,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,3,Santiago,Maria Eugenia,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,4,Di Paolo,Daniel David,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,5,Gonzalez,Silvia Ada,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,6,Vivanco,Jorge Martin,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,7,Roldan,Maria E,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,8,Squeff,Ariel Fernando,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,9,D'Angelo Rodriguez,Maria Luisa,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,10,Hotton Risler,Arturo Jaime,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,11,Kennedy,Carolina Elizabeth,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,12,Resico,Marcelo Fernando,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,13,Ibarbalz,Evangelina Norma,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,14,Liendro,Luis José,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,15,Casellas,Dana Debora Carolina,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,16,Castagna,Aldo Norberto,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,17,Urueña,Vanesa Soledad,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,18,Bianchini,Ricardo Fabian,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,19,Rea,Veronica Isabel,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,20,Bruno,Oscar,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,21,Dominguez,Fernanda Silvina,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,22,Romero,Ricardo Daniel,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,23,Capano,Melisa,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,24,Faure,Raul Abelardo,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,25,Pesoa,Elda Susana,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,26,Cassino,Lucas Adrian,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,27,Trebino,Maria Pia,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,28,Pussetto,Luis Omar,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,29,Escalada,Maria Soledad,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,30,Aranda Fernandez,Ruben Angel,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,31,Parra Andia,Katerina Fabiola,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,32,Madaria,Edgardo Andres,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,33,Bergara,Silvina Ines,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,34,Tolosa,Rene Fernando,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Titulares,35,Nicolini,Carla Elizabeth,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Suplentes,1,De Rueda,Leonel Blas,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Suplentes,2,Llaneza,Laura Fernanda,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Suplentes,3,Boetti,Lucas Alejandro,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Suplentes,4,Otranto,Graciela,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Suplentes,5,Maldonado,Andres Javier,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Suplentes,6,Foscardo,Norma Beatriz,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Suplentes,7,Juarez,Ubaldo Alberto,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Suplentes,8,Marte,Elsa Graciela,F
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Suplentes,9,.,.,M
Buenos Aires,Alianza + Valores,2021,Diputados Nacionales,Suplentes,10,.,.,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,1,Espert,José Luis,M
